indicator,age_modifier,sex_modifier,value,county
learner_toilet_ratio_recalculated,preprimary_ece,total,79.9312931834588,Samburu
learner_toilet_ratio_recalculated,primary,total,44.67292013082349,Samburu
learner_toilet_ratio_recalculated,secondary,total,19.61356651052921,Samburu
learner_toilet_ratio_recalculated,preprimary_ece,total,93.91505647495724,Tana River
learner_toilet_ratio_recalculated,primary,total,46.28076632035124,Tana River
learner_toilet_ratio_recalculated,secondary,total,22.699773666470303,Tana River
learner_toilet_ratio_recalculated,preprimary_ece,total,181.4976807062876,Turkana
learner_toilet_ratio_recalculated,primary,total,75.37805990113162,Turkana
learner_toilet_ratio_recalculated,secondary,total,34.327208796492826,Turkana
learner_toilet_ratio_recalculated,preprimary_ece,total,124.78322525600706,Wajir
learner_toilet_ratio_recalculated,primary,total,58.01546608388669,Wajir
learner_toilet_ratio_recalculated,secondary,total,37.31794948887553,Wajir
learner_toilet_ratio_recalculated,preprimary_ece,boys,100,Tana River
learner_toilet_ratio_recalculated,preprimary_ece,girls,88,Tana River
learner_toilet_ratio_recalculated,preprimary_ece,boys,68,Garissa
learner_toilet_ratio_recalculated,preprimary_ece,girls,56,Garissa
learner_toilet_ratio_recalculated,preprimary_ece,boys,136,Wajir
learner_toilet_ratio_recalculated,preprimary_ece,girls,113,Wajir
learner_toilet_ratio_recalculated,preprimary_ece,boys,185,Mandera
learner_toilet_ratio_recalculated,preprimary_ece,girls,143,Mandera
learner_toilet_ratio_recalculated,preprimary_ece,boys,76,Marsabit
learner_toilet_ratio_recalculated,preprimary_ece,girls,79,Marsabit
learner_toilet_ratio_recalculated,preprimary_ece,boys,76,Isiolo
learner_toilet_ratio_recalculated,preprimary_ece,girls,78,Isiolo
learner_toilet_ratio_recalculated,preprimary_ece,boys,31,Meru
learner_toilet_ratio_recalculated,preprimary_ece,girls,26,Meru
learner_toilet_ratio_recalculated,preprimary_ece,boys,22,Kitui
learner_toilet_ratio_recalculated,preprimary_ece,girls,15,Kitui
learner_toilet_ratio_recalculated,preprimary_ece,boys,16,Makueni
learner_toilet_ratio_recalculated,preprimary_ece,girls,14,Makueni
learner_toilet_ratio_recalculated,preprimary_ece,boys,187,Turkana
learner_toilet_ratio_recalculated,preprimary_ece,girls,176,Turkana
learner_toilet_ratio_recalculated,preprimary_ece,boys,85,Samburu
learner_toilet_ratio_recalculated,preprimary_ece,girls,75,Samburu
learner_toilet_ratio_recalculated,preprimary_ece,boys,37,Baringo
learner_toilet_ratio_recalculated,preprimary_ece,girls,32,Baringo
learner_toilet_ratio_recalculated,preprimary_ece,boys,37,Laikipia
learner_toilet_ratio_recalculated,preprimary_ece,girls,33,Laikipia
learner_toilet_ratio_recalculated,preprimary_ece,boys,40,National
learner_toilet_ratio_recalculated,preprimary_ece,girls,34,National
learner_toilet_ratio_recalculated,primary,boys,50,Tana River
learner_toilet_ratio_recalculated,primary,girls,43,Tana River
learner_toilet_ratio_recalculated,primary,boys,49,Garissa
learner_toilet_ratio_recalculated,primary,girls,35,Garissa
learner_toilet_ratio_recalculated,primary,boys,66,Wajir
learner_toilet_ratio_recalculated,primary,girls,50,Wajir
learner_toilet_ratio_recalculated,primary,boys,94,Mandera
learner_toilet_ratio_recalculated,primary,girls,63,Mandera
learner_toilet_ratio_recalculated,primary,boys,43,Marsabit
learner_toilet_ratio_recalculated,primary,girls,39,Marsabit
learner_toilet_ratio_recalculated,primary,boys,30,Isiolo
learner_toilet_ratio_recalculated,primary,girls,30,Isiolo
learner_toilet_ratio_recalculated,primary,boys,24,Meru
learner_toilet_ratio_recalculated,primary,girls,20,Meru
learner_toilet_ratio_recalculated,primary,boys,13,Kitui
learner_toilet_ratio_recalculated,primary,girls,23,Kitui
learner_toilet_ratio_recalculated,primary,boys,24,Makueni
learner_toilet_ratio_recalculated,primary,girls,21,Makueni
learner_toilet_ratio_recalculated,primary,boys,88,Turkana
learner_toilet_ratio_recalculated,primary,girls,65,Turkana
learner_toilet_ratio_recalculated,primary,boys,50,Samburu
learner_toilet_ratio_recalculated,primary,girls,40,Samburu
learner_toilet_ratio_recalculated,primary,boys,32,Baringo
learner_toilet_ratio_recalculated,primary,girls,27,Baringo
learner_toilet_ratio_recalculated,primary,boys,26,Laikipia
learner_toilet_ratio_recalculated,primary,girls,21,Laikipia
learner_toilet_ratio_recalculated,primary,boys,33,National
learner_toilet_ratio_recalculated,primary,girls,30,National
learner_toilet_ratio_recalculated,secondary,boys,29,Tana River
learner_toilet_ratio_recalculated,secondary,girls,18,Tana River
learner_toilet_ratio_recalculated,secondary,boys,23,Garissa
learner_toilet_ratio_recalculated,secondary,girls,26,Garissa
learner_toilet_ratio_recalculated,secondary,boys,46,Wajir
learner_toilet_ratio_recalculated,secondary,girls,28,Wajir
learner_toilet_ratio_recalculated,secondary,boys,30,Mandera
learner_toilet_ratio_recalculated,secondary,girls,24,Mandera
learner_toilet_ratio_recalculated,secondary,boys,22,Marsabit
learner_toilet_ratio_recalculated,secondary,girls,19,Marsabit
learner_toilet_ratio_recalculated,secondary,boys,19,Isiolo
learner_toilet_ratio_recalculated,secondary,girls,18,Isiolo
learner_toilet_ratio_recalculated,secondary,boys,18,Meru
learner_toilet_ratio_recalculated,secondary,girls,15,Meru
learner_toilet_ratio_recalculated,secondary,boys,17,Kitui
learner_toilet_ratio_recalculated,secondary,girls,15,Kitui
learner_toilet_ratio_recalculated,secondary,boys,19,Makueni
learner_toilet_ratio_recalculated,secondary,girls,16,Makueni
learner_toilet_ratio_recalculated,secondary,boys,40,Turkana
learner_toilet_ratio_recalculated,secondary,girls,28,Turkana
learner_toilet_ratio_recalculated,secondary,boys,21,Samburu
learner_toilet_ratio_recalculated,secondary,girls,18,Samburu
learner_toilet_ratio_recalculated,secondary,boys,20,Baringo
learner_toilet_ratio_recalculated,secondary,girls,17,Baringo
learner_toilet_ratio_recalculated,secondary,boys,18,Laikipia
learner_toilet_ratio_recalculated,secondary,girls,14,Laikipia
learner_toilet_ratio_recalculated,secondary,boys,22,National
learner_toilet_ratio_recalculated,secondary,girls,18,National
